query_id,kind,rank,keyframe_file,video_id,frame_id,source_zip,member_path,query
query-p1-1-kis,kis,1,L30_V046_089,L30_V046,6328,Keyframes_L30.zip,keyframes/L30_V046/089.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,2,L30_V046_090,L30_V046,6412,Keyframes_L30.zip,keyframes/L30_V046/090.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,3,L30_V046_091,L30_V046,6459,Keyframes_L30.zip,keyframes/L30_V046/091.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,4,L30_V046_092,L30_V046,6495,Keyframes_L30.zip,keyframes/L30_V046/092.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,5,L30_V046_097,L30_V046,6784,Keyframes_L30.zip,keyframes/L30_V046/097.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,6,L29_V005_070,L29_V005,1215,Keyframes_L29.zip,keyframes/L29_V005/070.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,7,L22_V029_076,L22_V029,8033,Keyframes_L22.zip,keyframes/L22_V029/076.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-1-kis,kis,8,L29_V017_251,L29_V017,9585,Keyframes_L29.zip,keyframes/L29_V017/251.jpg,"Cảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ."
query-p1-10-kis,kis,1,L29_V013_220,L29_V013,9855,Keyframes_L29.zip,keyframes/L29_V013/220.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,2,L29_V013_248,L29_V013,12394,Keyframes_L29.zip,keyframes/L29_V013/248.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,3,L29_V013_246,L29_V013,12174,Keyframes_L29.zip,keyframes/L29_V013/246.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,4,L29_V013_283,L29_V013,14444,Keyframes_L29.zip,keyframes/L29_V013/283.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,5,L29_V013_226,L29_V013,10395,Keyframes_L29.zip,keyframes/L29_V013/226.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,6,L29_V013_342,L29_V013,18495,Keyframes_L29.zip,keyframes/L29_V013/342.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,7,L29_V013_372,L29_V013,20906,Keyframes_L29.zip,keyframes/L29_V013/372.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-10-kis,kis,8,L27_V012_131,L27_V012,5670,Keyframes_L27.zip,keyframes/L27_V012/131.jpg,Hành động cắt chùm nho bằng kéo từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.
query-p1-11-kis,kis,1,L23_V014_075,L23_V014,7500,Keyframes_L23.zip,keyframes/L23_V014/075.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,2,L23_V014_069,L23_V014,6875,Keyframes_L23.zip,keyframes/L23_V014/069.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,3,L23_V014_071,L23_V014,7125,Keyframes_L23.zip,keyframes/L23_V014/071.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,4,L23_V014_070,L23_V014,7000,Keyframes_L23.zip,keyframes/L23_V014/070.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,5,L23_V017_029,L23_V017,3327,Keyframes_L23.zip,keyframes/L23_V017/029.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,6,L23_V025_179,L23_V025,16625,Keyframes_L23.zip,keyframes/L23_V025/179.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,7,L23_V016_037,L23_V016,4696,Keyframes_L23.zip,keyframes/L23_V016/037.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-11-kis,kis,8,L23_V004_093,L23_V004,8250,Keyframes_L23.zip,keyframes/L23_V004/093.jpg,"Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ"
query-p1-12-kis,kis,1,L22_V029_054,L22_V029,6261,Keyframes_L22.zip,keyframes/L22_V029/054.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,2,L22_V029_055,L22_V029,6441,Keyframes_L22.zip,keyframes/L22_V029/055.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,3,L22_V029_051,L22_V029,5841,Keyframes_L22.zip,keyframes/L22_V029/051.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,4,L22_V029_052,L22_V029,5997,Keyframes_L22.zip,keyframes/L22_V029/052.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,5,L22_V029_053,L22_V029,6167,Keyframes_L22.zip,keyframes/L22_V029/053.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,6,L22_V008_079,L22_V008,7852,Keyframes_L22.zip,keyframes/L22_V008/079.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,7,L22_V015_039,L22_V015,4070,Keyframes_L22.zip,keyframes/L22_V015/039.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-12-kis,kis,8,L22_V015_044,L22_V015,4587,Keyframes_L22.zip,keyframes/L22_V015/044.jpg,"Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình."
query-p1-13-kis,kis,1,L29_V021_080,L29_V021,6210,Keyframes_L29.zip,keyframes/L29_V021/080.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,2,L29_V021_112,L29_V021,8775,Keyframes_L29.zip,keyframes/L29_V021/112.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,3,L29_V021_126,L29_V021,9918,Keyframes_L29.zip,keyframes/L29_V021/126.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,4,L29_V021_109,L29_V021,8640,Keyframes_L29.zip,keyframes/L29_V021/109.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,5,L27_V007_071,L27_V007,944,Keyframes_L27.zip,keyframes/L27_V007/071.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,6,L27_V006_137,L27_V006,4575,Keyframes_L27.zip,keyframes/L27_V006/137.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
query-p1-13-kis,kis,7,L21_V019_186,L21_V019,23217,Keyframes_L21.zip,keyframes/L21_V019/186.jpg,"Một người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình."
